time, axial_temperature (degree celsius), surface_temperature (degree celsius)
681.0000,25.2500,56.5000
682.0000,25.1600,56.6700
683.0000,25.0600,56.8400
684.0000,25.0200,57.0400
685.0000,24.9200,57.3000
686.0000,24.8300,57.3700
687.0000,24.7600,57.0000
688.0000,24.6600,56.9400
689.0000,24.5900,56.7700
690.0000,24.5300,56.6000
691.0000,24.4900,56.7000
692.0000,24.4300,56.7400
693.0000,24.4000,56.7700
694.0000,24.3600,56.8400
695.0000,24.3000,56.8700
696.0000,24.2600,57.1000
697.0000,24.2300,57.1700
698.0000,24.2000,57.1300
699.0000,24.2000,57.1000
700.0000,24.1600,57.1300
701.0000,24.1600,57.2300
702.0000,24.1300,57.3000
703.0000,24.1300,57.3300
704.0000,24.1300,57.3000
705.0000,24.1600,57.2700
706.0000,24.1600,57.3300
707.0000,24.1600,57.5000
708.0000,24.2000,57.6600
709.0000,24.2000,57.7000
710.0000,24.2300,57.5000
711.0000,24.3000,57.5300
712.0000,24.3600,57.7300
713.0000,24.3600,57.5000
714.0000,24.4000,57.5300
715.0000,24.4300,57.5300
716.0000,24.4300,57.2700
717.0000,24.4600,57.2700
718.0000,24.4900,57.3000
719.0000,24.5600,57.3300
720.0000,24.5900,57.2000
721.0000,24.6900,57.3700
722.0000,24.7300,57.5300
723.0000,24.8300,57.7000
724.0000,24.8900,57.7300
725.0000,24.9600,57.6300
726.0000,25.0200,57.5700
727.0000,25.1200,57.7300
728.0000,25.1600,57.9600
729.0000,25.0200,57.9000
730.0000,25.3500,57.5700
731.0000,25.4900,57.9600
732.0000,25.5900,58.2600
733.0000,25.6500,58.3300
734.0000,25.6800,58.5900
735.0000,25.8200,58.5300
736.0000,25.9500,58.8900
737.0000,25.9800,58.0000
738.0000,25.8200,57.2000
739.0000,26.0800,58.4900
740.0000,26.2500,58.2600
741.0000,26.0100,55.6100
742.0000,26.1800,54.2200
743.0000,26.3100,53.0600
744.0000,26.3800,22.1400
745.0000,26.2500,7.3300
746.0000,26.3100,6.1700
747.0000,26.4400,4.4100
748.0000,26.6400,3.4800
749.0000,26.8400,4.5400
750.0000,27.0100,4.2100
751.0000,27.1100,4.4100
752.0000,27.2700,5.1400
753.0000,27.4400,5.4000
754.0000,27.5700,5.0100
755.0000,27.7000,5.1400
756.0000,27.8300,4.8100
757.0000,28.0000,3.8800
758.0000,28.1600,3.4500
759.0000,28.2900,3.6800
760.0000,28.4300,3.2800
761.0000,28.5600,1.8300
762.0000,28.7600,1.9600
763.0000,28.8200,1.0000
764.0000,28.9900,0.7700
765.0000,29.1500,0.3700
766.0000,29.2500,0.5700
767.0000,29.4200,0.9600
768.0000,29.5500,0.6700
769.0000,29.6800,0.7700
770.0000,29.8100,0.7700
771.0000,29.9500,1.2600
772.0000,30.0800,1.6600
773.0000,30.2100,1.8600
774.0000,30.4100,2.0600
775.0000,30.5100,0.7700
776.0000,30.6400,0.8600
777.0000,30.7100,0.1700
778.0000,30.8700,0.7000
779.0000,30.9700,0.8600
780.0000,31.0700,0.8600
781.0000,31.1700,0.2400
782.0000,31.3000,0.1700
783.0000,31.4300,0.3300
784.0000,31.5300,0.6000
785.0000,31.6300,0.7700
786.0000,31.7000,0.4000
787.0000,31.8000,0.1700
788.0000,31.9300,0.2400
789.0000,31.9600,0.2700
790.0000,32.0000,0.2000
791.0000,32.1300,0.0400
792.0000,32.2300,0.0000
793.0000,32.2300,0.0700
794.0000,32.2900,0.1400
795.0000,32.3600,0.1400
796.0000,32.3900,0.2000
797.0000,32.4200,0.3000
798.0000,32.4900,0.4300
799.0000,32.4900,0.2700
800.0000,32.5200,0.2000
801.0000,32.5600,0.3300
802.0000,32.5900,0.1000
803.0000,32.5900,0.2000
804.0000,32.5900,-0.0300
805.0000,32.6600,-0.0300
806.0000,32.6200,-0.0600
807.0000,32.6200,0.1000
808.0000,32.5900,0.1000
809.0000,32.5600,0.1400
810.0000,32.5600,0.2400
811.0000,32.5200,0.2700
812.0000,32.5600,0.1000
813.0000,32.4900,0.0000
814.0000,32.4600,0.1700
815.0000,32.4200,0.1400
816.0000,32.3900,0.1000
817.0000,32.3300,0.2400
818.0000,32.2600,0.1400
819.0000,32.2300,0.0400
820.0000,32.1600,0.0700
821.0000,32.0900,0.0400
822.0000,31.9600,0.0000
823.0000,32.0000,-0.0300
824.0000,31.8300,-0.1600
825.0000,31.7300,-0.0300
826.0000,31.7300,0.0400
827.0000,31.6600,0.1400
828.0000,31.6000,0.2000
829.0000,31.5300,0.2000
830.0000,31.4300,0.2700
831.0000,31.3300,0.2400
832.0000,31.3000,0.1700
833.0000,31.2000,0.2000
834.0000,31.0700,0.1700
835.0000,30.9400,-0.0300
836.0000,30.9000,0.0000
837.0000,30.8400,0.0400
838.0000,30.7100,0.1000
839.0000,30.6100,-0.0600
840.0000,30.4800,-0.1600
841.0000,30.2400,-0.1600
842.0000,30.0500,-0.3300
843.0000,30.0100,-0.1300
844.0000,29.7500,-0.2600
845.0000,29.7200,-0.1600
846.0000,29.7500,0.1700
847.0000,29.6500,0.2400
848.0000,29.4800,0.4000
849.0000,29.4200,0.8600
850.0000,29.2200,1.2000
851.0000,29.2200,13.9500
852.0000,29.6200,44.2100
853.0000,29.5200,47.8200
854.0000,29.3500,49.9400
855.0000,29.4500,52.4300
856.0000,29.2200,52.3600
857.0000,28.9200,52.5300
858.0000,28.7200,51.3700
859.0000,28.4900,50.6400
860.0000,28.3600,50.3400
861.0000,28.2300,50.8000
862.0000,28.0600,51.3000
863.0000,27.9300,51.3000
864.0000,27.7700,52.8300
865.0000,27.5700,52.6300
866.0000,27.4400,52.0000
867.0000,27.3400,52.0600
868.0000,27.1400,52.3600
869.0000,27.0100,52.7900
870.0000,26.8700,53.1900
871.0000,26.7400,53.7500
872.0000,26.5800,54.1200
873.0000,26.4400,53.9200
874.0000,26.2800,53.3600
875.0000,26.1500,53.0300
876.0000,26.0100,52.9300
877.0000,25.8800,53.3900
878.0000,25.7500,53.8500
879.0000,25.6500,54.1900
880.0000,25.5200,54.5800
881.0000,25.3900,54.8800
882.0000,25.2500,54.8100
883.0000,25.1200,54.0200
884.0000,25.0200,54.0900
885.0000,24.9200,54.2200
886.0000,24.7900,54.1500
887.0000,24.6900,54.1900
888.0000,24.5900,54.4500
889.0000,24.4900,54.6800
890.0000,24.4000,54.5200
891.0000,24.3000,54.3500
892.0000,24.2000,54.1500
893.0000,24.1300,53.9200
894.0000,24.0300,53.9500
895.0000,23.9700,54.2800
896.0000,23.9000,54.2800
897.0000,23.8000,54.2200
898.0000,23.7400,54.2200
899.0000,23.6400,54.1500
900.0000,23.5400,54.1900
901.0000,23.4700,54.2200
902.0000,23.4700,54.3800
903.0000,23.4400,54.3800
904.0000,23.4000,54.3500
905.0000,23.3700,54.3200
906.0000,23.3700,54.5800
907.0000,23.3700,54.6200
908.0000,23.3400,54.5800
909.0000,23.3400,54.6800
910.0000,23.3400,54.5800
911.0000,23.3400,54.4800
912.0000,23.3400,54.3200
913.0000,23.3400,54.5200
914.0000,23.3400,54.7200
915.0000,23.3100,54.5800
916.0000,23.3700,54.8100
917.0000,23.4000,54.9100
918.0000,23.4400,54.8500
919.0000,23.4400,54.7500
920.0000,23.4700,54.7500
921.0000,23.5000,54.7500
922.0000,23.5400,54.8100
923.0000,23.5700,54.8500
924.0000,23.6400,54.7800
925.0000,23.7000,54.7200
926.0000,23.7700,54.8500
927.0000,23.8000,54.7500
928.0000,23.8300,54.6800
929.0000,23.9000,54.8100
930.0000,23.8000,54.8500
931.0000,24.0000,55.0800
932.0000,24.0700,55.2800
933.0000,24.1600,55.5400
934.0000,24.2300,55.5100
935.0000,24.3000,55.3500
936.0000,24.4000,55.1500
937.0000,24.4000,55.1500
938.0000,24.5300,55.0500
939.0000,24.6300,54.9800
940.0000,24.7300,54.8800
941.0000,24.7900,54.8100
942.0000,24.8600,54.7800
943.0000,24.8900,54.9800
944.0000,25.1600,54.9800
945.0000,25.2500,54.9800
946.0000,25.2900,54.8800
947.0000,25.2900,54.6500
948.0000,25.1900,54.2800
949.0000,25.3500,54.3800
950.0000,25.5900,54.8500
951.0000,25.9200,55.6800
952.0000,25.5200,52.7600
953.0000,25.6200,51.2700
954.0000,25.7200,49.8800
955.0000,25.8500,49.1100
956.0000,25.9500,26.3800
957.0000,25.8500,3.9100
958.0000,25.8500,5.3100
959.0000,26.0800,4.5400
960.0000,26.1800,2.2200
961.0000,26.4100,3.7100
962.0000,26.6100,5.2400
963.0000,26.7700,5.1400
964.0000,26.8400,5.1400
965.0000,27.0700,4.6800
966.0000,27.1700,2.0600
967.0000,27.2400,0.9300
968.0000,27.4000,0.8600
969.0000,27.5300,1.1000
970.0000,27.7300,1.4900
971.0000,27.9000,1.5900
972.0000,28.0000,1.1000
973.0000,28.1300,0.8000
974.0000,28.2600,1.2300
975.0000,28.4300,1.9300
976.0000,28.7600,1.9900
977.0000,28.6900,0.4000
978.0000,28.9200,0.4000
979.0000,28.9900,0.5000
980.0000,29.1200,0.3700
981.0000,29.2200,0.4300
982.0000,29.3500,0.2700
983.0000,29.4800,0.4300
984.0000,29.6500,0.4000
985.0000,29.7800,0.1700
986.0000,29.8800,0.0700
987.0000,30.0100,0.1400
988.0000,30.1100,0.0700
989.0000,30.2400,0.1000
990.0000,30.3400,0.1700
991.0000,30.4800,0.2000
992.0000,30.5400,0.2700
993.0000,30.6400,0.3000
994.0000,30.6100,-0.1600
995.0000,30.7400,0.1700
996.0000,30.9000,0.1700
997.0000,31.0000,0.3000
998.0000,31.1400,0.5000
999.0000,31.2000,0.5700
1000.0000,31.3000,0.6000
1001.0000,31.3000,0.5700
1002.0000,31.3700,0.4700
1003.0000,31.5000,0.5700
1004.0000,31.5700,0.2000
1005.0000,31.6000,0.3000
1006.0000,31.6600,0.2700
1007.0000,31.6300,-0.0600
1008.0000,31.7000,0.0400
1009.0000,31.7300,0.2400
1010.0000,31.7600,0.1000
1011.0000,31.7600,0.0000
