V,T
49.0600,3.2050
49.0600,3.2060
49.0600,3.2120
49.0600,3.2110
49.0600,3.2060
49.0600,3.2030
49.0500,3.1990
49.0500,3.2030
49.0500,3.2030
49.0500,3.2050
49.0500,3.2060
49.0400,3.2080
49.0400,3.2120
49.0400,3.2120
49.0400,3.2080
49.0400,3.2090
49.0400,3.2090
49.0400,3.2040
49.0300,3.2040
49.0300,3.2030
49.0300,3.2040
49.0300,3.2040
49.0300,3.2060
49.0300,3.2040
49.0200,3.2060
49.0200,3.2080
49.0200,3.2050
49.0200,3.2080
49.0200,3.2100
49.0200,3.2110
49.0200,3.2100
49.0100,3.2080
49.0100,3.2080
49.0100,3.2040
49.0100,3.2060
49.0100,3.2080
49.0100,3.2080
49.0100,3.2120
49.0000,3.2110
49.0000,3.2100
49.0000,3.2100
49.0000,3.2080
49.0000,3.2080
48.9900,3.2090
48.9900,3.2040
48.9900,3.2060
48.9900,3.2080
48.9900,3.2090
48.9900,3.2120
48.9800,3.2140
48.9800,3.2160
48.9800,3.2110
48.9800,3.2090
48.9800,3.2080
48.9800,3.2080
48.9700,3.2090
48.9700,3.2060
48.9700,3.2040
48.9700,3.2030
48.9700,3.2030
48.9700,3.2040
48.9700,3.2080
48.9600,3.2080
48.9600,3.2100
48.9600,3.2100
48.9600,3.2120
48.9600,3.2140
48.9500,3.2110
48.9500,3.2110
48.9500,3.2120
48.9500,3.2110
48.9500,3.2100
48.9500,3.2100
48.9400,3.2100
48.9400,3.2110
48.9400,3.2120
48.9400,3.2140
48.9400,3.2150
48.9300,3.2160
48.9300,3.2150
48.9300,3.2160
48.9300,3.2140
48.9300,3.2120
48.9300,3.2120
48.9300,3.2120
48.9200,3.2140
48.9200,3.2140
48.9200,3.2150
48.9200,3.2120
48.9200,3.2100
48.9200,3.2110
48.9100,3.2140
48.9100,3.2140
48.9100,3.2110
48.9100,3.2100
48.9100,3.2120
48.9100,3.2150
48.9000,3.2140
48.9000,3.2150
48.9000,3.2140
48.9000,3.2140
48.9000,3.2200
48.9000,3.2250
48.9000,3.2220
48.8900,3.2220
48.9000,3.2220
48.9000,3.2200
48.8900,3.2190
48.8900,3.2190
48.8800,3.2170
48.8900,3.2170
48.8800,3.2150
48.8800,3.2120
48.8800,3.2100
48.8800,3.2100
